Index,TensorID,TensorShape,TensorNumElement,TensorEachByte,TensorType,TensorStorgeid,gpuid
84,232,[4096],4096,4,bias=None,233,0
85,240,"[128, 4096]",524288,4,output,241,0
86,240,"[128, 4096]",524288,4,input,241,0
87,240,"[128, 4096]",524288,4,output,241,0
88,240,"[128, 4096]",524288,4,input,241,0
89,252,"[128, 4096]",524288,4,output,253,0
90,252,"[128, 4096]",524288,4,input,253,0
91,254,"[1000, 4096]",4096000,4,weight,255,0
92,256,[1000],1000,4,bias=None,257,0
93,264,"[128, 1000]",128000,4,output,265,0
94,264,"[128, 1000]",128000,4,input,265,0
95,266,[128],128,8,target,267,0
96,281,[],1,4,output,282,0
97,281,[],1,4,input,282,0
98,286,[],1,4,output,287,0
99,286,[],1,4,grad_output,287,0
100,272,"[128, 1000]",128000,4,input,273,0
101,266,[128],128,8,target,267,0
102,276,[],0,0,weight,0,0
103,278,[],1,4,total_weight,279,0
104,293,"[128, 1000]",128000,4,output,294,0
105,293,"[128, 1000]",128000,4,grad_output,294,0
106,299,"[128, 1000]",128000,4,output,273,0
107,301,"[128, 1000]",128000,4,output,302,0
108,262,"[4096, 1000]",4096000,4,input,255,0
109,308,"[1000, 4096]",4096000,4,output,255,0
110,327,[1000],1000,4,input,325,0
111,332,[1000],1000,4,output,325,0
112,322,"[4096, 1000]",4096000,4,input,318,0
113,338,"[1000, 4096]",4096000,4,output,318,0
114,338,"[1000, 4096]",4096000,4,input,318,0
115,343,"[1000, 4096]",4096000,4,output,318,0
116,310,"[128, 4096]",524288,4,grad_output,311,0
117,248,"[128, 4096]",524288,1,mask,249,0
118,349,"[128, 4096]",524288,4,output,253,0
119,349,"[128, 4096]",524288,4,grad_output,253,0
120,352,"[128, 4096]",524288,4,input,241,0
121,354,"[128, 4096]",524288,4,output,311,0
122,238,"[4096, 4096]",16777216,4,input,231,0
123,360,"[4096, 4096]",16777216,4,output,231,0
124,379,[4096],4096,4,input,377,0
125,384,[4096],4096,4,output,377,0
126,374,"[4096, 4096]",16777216,4,input,370,0
127,390,"[4096, 4096]",16777216,4,output,370,0
128,390,"[4096, 4096]",16777216,4,input,370,0
129,395,"[4096, 4096]",16777216,4,output,370,0
130,362,"[128, 4096]",524288,4,grad_output,363,0
131,224,"[128, 4096]",524288,1,mask,225,0
132,401,"[128, 4096]",524288,4,output,311,0
133,401,"[128, 4096]",524288,4,grad_output,311,0
134,404,"[128, 4096]",524288,4,input,217,0
135,406,"[128, 4096]",524288,4,output,363,0
136,214,"[25088, 4096]",102760448,4,input,207,0
137,412,"[4096, 25088]",102760448,4,output,207,0
138,431,[4096],4096,4,input,429,0
139,436,[4096],4096,4,output,429,0
140,426,"[25088, 4096]",102760448,4,input,422,0
141,442,"[4096, 25088]",102760448,4,output,422,0
142,442,"[4096, 25088]",102760448,4,input,422,0
143,447,"[4096, 25088]",102760448,4,output,422,0
144,414,"[128, 25088]",3211264,4,input,415,0
145,452,"[128, 512, 7, 7]",3211264,4,output,415,0
146,452,"[128, 512, 7, 7]",3211264,4,grad_output,415,0
147,192,"[128, 512, 7, 7]",3211264,4,input,193,0
148,459,"[128, 512, 7, 7]",3211264,4,output,460,0
149,459,"[128, 512, 7, 7]",3211264,4,grad_output,460,0
150,182,"[128, 512, 14, 14]",12845056,4,input,183,0
151,194,"[128, 512, 7, 7]",3211264,8,indices,195,0
152,466,"[128, 512, 14, 14]",12845056,4,output,467,0
153,466,"[128, 512, 14, 14]",12845056,4,grad_output,467,0
154,472,"[128, 512, 14, 14]",12845056,4,input,183,0
155,474,"[128, 512, 14, 14]",12845056,4,output,475,0
156,474,"[128, 512, 14, 14]",12845056,4,grad_output,475,0
157,166,"[128, 512, 14, 14]",12845056,4,input,167,0
158,174,"[512, 512, 3, 3]",2359296,4,weight,175,0
159,487,"[128, 512, 14, 14]",12845056,4,output,183,0
160,481,"[512, 512, 3, 3]",2359296,4,output,482,0
161,484,[512],512,4,output,279,0
162,481,"[512, 512, 3, 3]",2359296,4,input,482,0
163,492,"[512, 512, 3, 3]",2359296,4,output,482,0
164,484,[512],512,4,input,279,0
165,497,[512],512,4,output,279,0
166,487,"[128, 512, 14, 14]",12845056,4,grad_output,183,0
167,486,"[128, 512, 14, 14]",12845056,4,input,167,0
168,501,"[128, 512, 14, 14]",12845056,4,output,467,0
169,501,"[128, 512, 14, 14]",12845056,4,grad_output,467,0
170,154,"[128, 512, 14, 14]",12845056,4,input,155,0
171,158,"[512, 512, 3, 3]",2359296,4,weight,159,0
172,514,"[128, 512, 14, 14]",12845056,4,output,183,0
173,507,"[512, 512, 3, 3]",2359296,4,output,508,0
174,510,[512],512,4,output,511,0
175,507,"[512, 512, 3, 3]",2359296,4,input,508,0
176,519,"[512, 512, 3, 3]",2359296,4,output,508,0
177,510,[512],512,4,input,511,0
178,524,[512],512,4,output,511,0
179,514,"[128, 512, 14, 14]",12845056,4,grad_output,183,0
180,144,"[128, 512, 28, 28]",51380224,4,input,145,0
181,156,"[128, 512, 14, 14]",12845056,8,indices,157,0
182,513,"[128, 512, 28, 28]",51380224,4,output,467,0
183,513,"[128, 512, 28, 28]",51380224,4,grad_output,467,0
184,532,"[128, 512, 28, 28]",51380224,4,input,145,0
185,534,"[128, 512, 28, 28]",51380224,4,output,535,0
186,534,"[128, 512, 28, 28]",51380224,4,grad_output,535,0
